C_Country_codes,Postal_codes,C_Location_name,C_Area,C_Lat,C_Long,C_V12,Match_location
PK,39450,Ajnian Wala,Lahore,31.5127,74.1568, ,AJNIAN WALA
PK,43351,Ajuwala,Norhern Punajb Rawalpindi,33.3712,72.8353, ,AJUWALA
PK,18351,Akakher,NWFP Peshawar,34.6047,71.965, ,AKAKHER
PK,10470,Akal Garh,Federal Capial &AJK,33.4833,73.4222, ,AKAL GARH
PK,56301,Akbar,Lahore,30.8989,73.2869,4,AKBAR
PK,51311,Akbar Abad,Lahore,32.4228,74.2898, ,AKBAR ABAD
PK,52471,Akbar Ganoke,Lahore,31.9356,74.156, ,AKBAR GANOKE
PK,24320,Akbar Pura,NWFP Peshawar,32.37,70.6962, ,AKBAR PURA
PK,24511,Akbarabad,NWFP Peshawar,28.0625,69.6861,4,AKBARABAD
PK,18251,Akhagram,NWFP Peshawar,27.7833,67.6167, ,AKHAGRAM
PK,69091,Akheraj Singh,Hyderabad,27.1458,69.3431, ,AKHERAJ SINGH
PK,76331,Akhoond Mohalla,Hyderabad,28.2245,69.4898, ,AKHOOND MOHALLA
PK,43681,Akhori,Norhern Punajb Rawalpindi,33.6925,72.4533,4,AKHORI
PK,26101,Akhorwal B.O,NWFP Peshawar,32.1018,68.9607, ,AKHORWAL B.O
PK,56100,Akhtar Abad,Lahore,30.831,73.696, ,AKHTAR ABAD
PK,50471,Aki,Norhern Punajb Rawalpindi,32.5,73.35,4,AKI
PK,77151,Akil,Hyderabad,27.5833,68.2667,4,AKIL
PK,24040,Akora Khattak,NWFP Peshawar,34.0036,72.1261,4,AKORA KHATTAK
PK,64301,Akram Abad,Souhern Punajb Mulan,28.7064,70.3837, ,AKRAM ABAD
PK,12161,Akramabad,Federal Capial &AJK,28.4833,70.2236,4,AKRAMABAD
PK,69061,Akri,Hyderabad,26.9667,68.4167,4,AKRI
PK,66301,Akri Chow Dagi,Hyderabad,28.1184,70.6382, ,AKRI CHOW DAGI
PK,35551,Akrian Wala,Lahore,31.6513,72.3524, ,AKRIAN WALA
